Idade,Grau de escolaridade,Estado civil,"Estado onde mora atualmente ( SIGLA ) Exemplo PR, GO, SC",Você trabalha atualmente?,Qual é sua faixa salarial mensal?,"Qual é a sua principal queixa hoje em relação à sua pele, cabelo ou aparência? Exemplo: acne, manchas, ressecamento, oleosidade, queda de cabelo, estrias, cicatrizes (Selecione todas as opções que se aplicam)",Há quanto tempo isso te incomoda?,Como você classificaria o impacto disso na sua autoestima?,Você já usa algum produto de beleza?,Quais produtos de beleza você usa atualmente? (Selecione todas as opções que se aplicam),Quais cuidados de beleza você faz hoje? (Selecione todas as opções que se aplicam),"Se você pudesse comprar uma solução que resolvesse seu problema estético, você compraria?",Até quanto você estaria disposto(a) a pagar para resolver esse problema?,"Se faz faculdade ou especialização qual curso ? Se a reposta for NÃO, digite apenas NÃO",Você faz faculdade ou especialização atualmente?,Já fez algum tratamento profissional para resolver essa queixa?
41,Ensino Superior completo,União Estável,SP,Não,5.000 – 7.000,Manchas; Oleosidade; Acne; Queda de cabelo; Ressecamento,3 meses,Médio,Não,Protetor solar; Sérum; Hidratante,Skincare; Dieta; Atividade física,NÃO,R$101 – R$200,Direito,Não,Sim
20,Ensino Superior completo,Casado,GO,Sim,2.000 – 3.000,Ressecamento; Queda de cabelo; Oleosidade; Manchas; Acne,1 ano,Médio,Sim,Hidratante; Protetor solar; Sérum,Skincare; Atividade física; Dieta,SIM,R$201 – R$300,Medicina,Não,Não
39,Ensino Superior completo,Solteiro,RJ,Sim,2.000 – 3.000,Ressecamento,6 meses,Alto,Sim,Hidratante,Dieta,NÃO,R$301 – R$500,Não,Sim,Sim
19,Ensino Médio completo,Divorciado,MG,Sim,5.000 – 7.000,Manchas; Acne,3 meses,Médio,Não,Protetor solar; Sérum,Atividade física; Dieta,SIM,R$301 – R$500,Não,Sim,Sim
41,Ensino Superior incompleto,Divorciado,SC,Sim,Até 2.000,Oleosidade; Acne; Ressecamento; Queda de cabelo; Manchas,3 meses,Baixo,Não,Sérum; Hidratante; Protetor solar,Atividade física; Skincare; Dieta,NÃO,R$301 – R$500,Não,Sim,Sim
47,Ensino Superior completo,Casado,RJ,Sim,4.000 – 5.000,Acne; Ressecamento; Queda de cabelo,2 anos,Médio,Sim,Hidratante; Sérum; Protetor solar,Atividade física; Skincare; Dieta,SIM,R$301 – R$500,Não,Sim,Sim
19,Ensino Médio completo,Divorciado,RJ,Sim,2.000 – 3.000,Manchas; Oleosidade,6 meses,Médio,Não,Sérum; Hidratante,Skincare; Atividade física,NÃO,R$101 – R$200,Não,Sim,Sim
38,Ensino Médio completo,Divorciado,MG,Sim,3.000 – 4.000,Queda de cabelo,1 mês,Médio,Sim,Sérum,Skincare,SIM,R$301 – R$500,Não,Sim,Sim
50,Ensino Superior completo,Solteiro,DF,Sim,5.000 – 7.000,Acne; Oleosidade; Manchas; Ressecamento,1 ano,Médio,Sim,Protetor solar; Sérum; Hidratante,Skincare; Dieta; Atividade física,SIM,R$301 – R$500,Não,Sim,Sim
29,Ensino Superior completo,União Estável,BA,Sim,Acima de 7.000,Ressecamento; Manchas; Acne; Oleosidade; Queda de cabelo,6 meses,Médio,Não,Sérum; Hidratante; Protetor solar,Dieta; Atividade física; Skincare,SIM,R$301 – R$500,Não,Sim,Não
39,Ensino Médio completo,Solteiro,SC,Não,Até 2.000,Manchas; Oleosidade; Acne,1 mês,Alto,Sim,Sérum; Hidratante; Protetor solar,Dieta; Skincare; Atividade física,SIM,R$301 – R$500,Direito,Sim,Sim
42,Ensino Médio completo,União Estável,DF,Sim,4.000 – 5.000,Ressecamento,3 meses,Baixo,Sim,Hidratante,Atividade física,NÃO,R$101 – R$200,Não,Sim,Sim
44,Ensino Médio completo,União Estável,DF,Não,Acima de 7.000,Queda de cabelo; Oleosidade,1 ano,Médio,Sim,Protetor solar; Sérum,Dieta; Skincare,NÃO,R$101 – R$200,Não,Não,Sim
45,Ensino Superior completo,União Estável,RJ,Não,2.000 – 3.000,Ressecamento; Manchas; Acne; Queda de cabelo; Oleosidade,1 ano,Alto,Sim,Protetor solar; Hidratante; Sérum,Dieta; Skincare; Atividade física,SIM,R$301 – R$500,Engenharia,Sim,Não
33,Ensino Superior completo,Divorciado,GO,Sim,5.000 – 7.000,Queda de cabelo,6 meses,Médio,Não,Sérum,Atividade física,SIM,R$201 – R$300,Direito,Não,Sim
32,Ensino Superior completo,Solteiro,DF,Sim,3.000 – 4.000,Oleosidade,2 anos,Médio,Não,Protetor solar,Skincare,SIM,R$301 – R$500,Não,Sim,Não
20,Mestrado,Divorciado,MG,Sim,3.000 – 4.000,Manchas; Queda de cabelo; Oleosidade,1 mês,Alto,Não,Protetor solar; Sérum; Hidratante,Skincare; Dieta; Atividade física,NÃO,R$101 – R$200,Direito,Não,Sim
54,Ensino Superior incompleto,Casado,BA,Sim,Acima de 7.000,Ressecamento; Manchas; Oleosidade; Queda de cabelo,6 meses,Baixo,Não,Sérum; Protetor solar; Hidratante,Skincare; Atividade física; Dieta,SIM,R$301 – R$500,Não,Sim,Não
24,Ensino Fundamental completo,Solteiro,SC,Sim,2.000 – 3.000,Queda de cabelo; Acne; Oleosidade; Manchas,2 anos,Baixo,Sim,Hidratante; Protetor solar; Sérum,Skincare; Atividade física; Dieta,NÃO,R$301 – R$500,Não,Não,Não
38,Ensino Fundamental incompleto,União Estável,PR,Sim,5.000 – 7.000,Oleosidade; Manchas; Ressecamento; Queda de cabelo,2 anos,Médio,Sim,Hidratante; Protetor solar; Sérum,Atividade física; Dieta; Skincare,SIM,R$301 – R$500,Não,Sim,Não
26,Ensino Médio completo,Divorciado,SP,Sim,5.000 – 7.000,Ressecamento; Manchas,2 anos,Baixo,Sim,Sérum; Hidratante,Dieta; Atividade física,NÃO,R$201 – R$300,Engenharia,Sim,Sim
35,Pós-graduação,Divorciado,GO,Não,Até 2.000,Oleosidade,1 ano,Alto,Sim,Protetor solar,Atividade física,SIM,R$301 – R$500,Não,Sim,Não
21,Ensino Superior completo,Solteiro,MG,Sim,5.000 – 7.000,Oleosidade; Queda de cabelo,1 mês,Baixo,Sim,Hidratante; Protetor solar,Atividade física; Dieta,SIM,R$201 – R$300,Engenharia,Não,Sim
42,Ensino Médio completo,Solteiro,SP,Sim,Acima de 7.000,Ressecamento,1 mês,Alto,Não,Protetor solar,Atividade física,SIM,Até R$100,Não,Sim,Sim
31,Ensino Médio completo,União Estável,BA,Sim,2.000 – 3.000,Acne; Oleosidade; Queda de cabelo,6 meses,Alto,Não,Sérum; Protetor solar; Hidratante,Skincare; Dieta; Atividade física,SIM,R$301 – R$500,Engenharia,Sim,Sim
26,Ensino Superior completo,União Estável,BA,Sim,Acima de 7.000,Oleosidade; Queda de cabelo; Manchas,3 meses,Baixo,Sim,Protetor solar; Hidratante; Sérum,Skincare; Atividade física; Dieta,SIM,R$301 – R$500,Não,Sim,Não
43,Ensino Superior completo,Casado,PR,Sim,5.000 – 7.000,Manchas; Ressecamento,6 meses,Médio,Não,Sérum; Hidratante,Atividade física; Skincare,SIM,R$301 – R$500,Medicina,Não,Sim
19,Ensino Médio completo,União Estável,DF,Não,5.000 – 7.000,Queda de cabelo; Manchas,1 mês,Baixo,Sim,Protetor solar; Sérum,Dieta; Atividade física,NÃO,R$201 – R$300,Medicina,Não,Não
37,Mestrado,Divorciado,RJ,Não,5.000 – 7.000,Ressecamento; Oleosidade; Acne,1 ano,Médio,Não,Protetor solar; Hidratante; Sérum,Dieta; Atividade física; Skincare,SIM,R$101 – R$200,Engenharia,Sim,Sim
45,Ensino Superior completo,Casado,RJ,Não,3.000 – 4.000,Manchas; Acne; Oleosidade; Queda de cabelo; Ressecamento,6 meses,Baixo,Não,Hidratante; Sérum; Protetor solar,Skincare; Atividade física; Dieta,NÃO,Até R$100,Não,Sim,Sim
24,Ensino Fundamental completo,Casado,SC,Sim,Acima de 7.000,Acne; Manchas; Oleosidade; Ressecamento,3 meses,Alto,Sim,Hidratante; Sérum; Protetor solar,Skincare; Dieta; Atividade física,SIM,R$201 – R$300,Direito,Não,Sim
25,Pós-graduação,Casado,MG,Sim,Acima de 7.000,Queda de cabelo; Manchas; Ressecamento; Oleosidade,6 meses,Alto,Sim,Hidratante; Sérum; Protetor solar,Atividade física; Dieta; Skincare,SIM,R$101 – R$200,Engenharia,Não,Sim
52,Ensino Fundamental completo,Solteiro,MG,Sim,5.000 – 7.000,Oleosidade; Manchas; Ressecamento,2 anos,Baixo,Não,Protetor solar; Hidratante; Sérum,Atividade física; Skincare; Dieta,NÃO,R$301 – R$500,Não,Sim,Sim
31,Pós-graduação,União Estável,DF,Sim,5.000 – 7.000,Acne; Ressecamento; Manchas; Queda de cabelo,3 meses,Baixo,Não,Sérum; Hidratante; Protetor solar,Dieta; Skincare; Atividade física,NÃO,R$201 – R$300,Direito,Sim,Sim
34,Mestrado,Casado,BA,Sim,5.000 – 7.000,Acne; Manchas; Queda de cabelo; Oleosidade; Ressecamento,2 anos,Alto,Não,Sérum; Protetor solar; Hidratante,Skincare; Atividade física; Dieta,SIM,R$301 – R$500,Engenharia,Sim,Sim
53,Ensino Superior completo,Solteiro,SC,Sim,4.000 – 5.000,Oleosidade; Acne; Queda de cabelo; Ressecamento; Manchas,1 ano,Baixo,Não,Protetor solar; Sérum; Hidratante,Skincare; Atividade física; Dieta,SIM,R$301 – R$500,Medicina,Não,Não
21,Ensino Superior completo,Solteiro,DF,Sim,5.000 – 7.000,Manchas,1 mês,Alto,Não,Hidratante,Atividade física,SIM,R$301 – R$500,Não,Não,Sim
19,Ensino Médio completo,Casado,SP,Sim,5.000 – 7.000,Ressecamento; Queda de cabelo,6 meses,Médio,Sim,Hidratante; Sérum,Skincare; Dieta,SIM,R$301 – R$500,Medicina,Sim,Sim
23,Pós-graduação,Casado,RJ,Sim,5.000 – 7.000,Oleosidade; Queda de cabelo; Acne; Ressecamento,6 meses,Médio,Sim,Hidratante; Protetor solar; Sérum,Skincare; Dieta; Atividade física,SIM,R$301 – R$500,Não,Não,Não
21,Ensino Superior completo,Divorciado,RJ,Não,5.000 – 7.000,Oleosidade; Acne; Queda de cabelo; Manchas; Ressecamento,2 anos,Alto,Sim,Hidratante; Sérum; Protetor solar,Skincare; Dieta; Atividade física,SIM,R$201 – R$300,Medicina,Não,Não
46,Ensino Superior completo,Casado,BA,Sim,4.000 – 5.000,Queda de cabelo; Manchas,2 anos,Médio,Sim,Sérum; Protetor solar,Dieta; Skincare,NÃO,R$101 – R$200,Medicina,Sim,Não
35,Pós-graduação,Divorciado,MG,Não,Até 2.000,Oleosidade; Manchas,1 mês,Alto,Sim,Hidratante; Protetor solar,Skincare; Dieta,NÃO,R$201 – R$300,Engenharia,Sim,Sim
43,Mestrado,Casado,BA,Não,2.000 – 3.000,Manchas,6 meses,Alto,Não,Hidratante,Atividade física,SIM,R$301 – R$500,Não,Sim,Não
51,Ensino Superior completo,Casado,DF,Sim,4.000 – 5.000,Acne; Ressecamento,1 mês,Baixo,Sim,Protetor solar; Hidratante,Skincare; Atividade física,SIM,R$301 – R$500,Direito,Não,Sim
27,Ensino Médio completo,União Estável,MG,Sim,5.000 – 7.000,Acne; Queda de cabelo,2 anos,Baixo,Sim,Sérum; Hidratante,Skincare; Atividade física,NÃO,R$201 – R$300,Não,Não,Não
53,Mestrado,Casado,SC,Sim,5.000 – 7.000,Manchas; Oleosidade; Queda de cabelo,2 anos,Alto,Não,Sérum; Hidratante; Protetor solar,Dieta; Skincare; Atividade física,SIM,R$301 – R$500,Medicina,Sim,Sim
31,Ensino Superior completo,Casado,DF,Não,5.000 – 7.000,Manchas,3 meses,Alto,Sim,Sérum,Skincare,SIM,R$301 – R$500,Engenharia,Não,Não
48,Pós-graduação,Divorciado,PR,Sim,4.000 – 5.000,Manchas,2 anos,Baixo,Sim,Sérum,Dieta,NÃO,R$101 – R$200,Engenharia,Não,Sim
32,Ensino Superior completo,Divorciado,SP,Não,5.000 – 7.000,Acne; Ressecamento; Queda de cabelo; Manchas,2 anos,Alto,Não,Hidratante; Protetor solar; Sérum,Dieta; Atividade física; Skincare,SIM,R$301 – R$500,Não,Não,Sim
25,Ensino Médio completo,União Estável,GO,Sim,3.000 – 4.000,Queda de cabelo; Oleosidade,1 mês,Médio,Não,Sérum; Hidratante,Dieta; Atividade física,NÃO,R$201 – R$300,Não,Não,Sim
31,Ensino Médio completo,Casado,PR,Não,4.000 – 5.000,Ressecamento; Oleosidade; Acne; Manchas,3 meses,Baixo,Sim,Sérum; Protetor solar; Hidratante,Dieta; Atividade física; Skincare,SIM,R$201 – R$300,Não,Sim,Não
40,Ensino Superior completo,Casado,DF,Não,5.000 – 7.000,Oleosidade; Queda de cabelo; Ressecamento; Acne; Manchas,3 meses,Alto,Sim,Hidratante; Protetor solar; Sérum,Dieta; Atividade física; Skincare,SIM,R$301 – R$500,Medicina,Não,Não
38,Ensino Superior completo,Divorciado,PR,Sim,Acima de 7.000,Acne; Oleosidade,6 meses,Baixo,Não,Protetor solar; Sérum,Skincare; Atividade física,NÃO,Até R$100,Não,Sim,Não
33,Ensino Médio completo,Solteiro,MG,Sim,4.000 – 5.000,Manchas; Oleosidade; Acne; Ressecamento; Queda de cabelo,1 ano,Alto,Sim,Sérum; Protetor solar; Hidratante,Skincare; Atividade física; Dieta,SIM,R$301 – R$500,Engenharia,Não,Não
35,Ensino Superior completo,Solteiro,MG,Sim,Até 2.000,Queda de cabelo; Acne; Manchas,6 meses,Baixo,Sim,Hidratante; Protetor solar; Sérum,Skincare; Atividade física; Dieta,NÃO,R$201 – R$300,Medicina,Sim,Não
41,Ensino Médio completo,Solteiro,MG,Sim,2.000 – 3.000,Manchas; Oleosidade,6 meses,Médio,Não,Sérum; Hidratante,Dieta; Atividade física,NÃO,R$201 – R$300,Não,Não,Sim
43,Ensino Superior completo,Divorciado,PR,Sim,Até 2.000,Oleosidade; Acne; Manchas; Queda de cabelo,6 meses,Baixo,Sim,Sérum; Protetor solar; Hidratante,Skincare; Atividade física; Dieta,NÃO,R$301 – R$500,Não,Sim,Não
42,Ensino Superior incompleto,Divorciado,BA,Não,5.000 – 7.000,Queda de cabelo; Manchas; Acne; Oleosidade,3 meses,Médio,Sim,Protetor solar; Hidratante; Sérum,Atividade física; Skincare; Dieta,SIM,R$201 – R$300,Não,Sim,Sim
46,Ensino Fundamental completo,Solteiro,SP,Sim,3.000 – 4.000,Acne; Manchas,1 mês,Médio,Sim,Sérum; Protetor solar,Skincare; Atividade física,NÃO,R$101 – R$200,Não,Não,Sim
32,Ensino Médio completo,Solteiro,BA,Não,5.000 – 7.000,Queda de cabelo; Ressecamento; Oleosidade; Manchas,2 anos,Baixo,Não,Hidratante; Protetor solar; Sérum,Atividade física; Dieta; Skincare,SIM,R$201 – R$300,Medicina,Não,Sim
18,Ensino Fundamental completo,Casado,MG,Não,4.000 – 5.000,Queda de cabelo; Ressecamento,3 meses,Médio,Não,Hidratante; Sérum,Dieta; Atividade física,SIM,R$301 – R$500,Medicina,Sim,Sim
42,Ensino Superior incompleto,Divorciado,DF,Sim,2.000 – 3.000,Queda de cabelo,2 anos,Médio,Sim,Protetor solar,Atividade física,NÃO,R$101 – R$200,Engenharia,Não,Não
24,Ensino Fundamental completo,Divorciado,DF,Não,4.000 – 5.000,Ressecamento; Acne; Manchas; Oleosidade,2 anos,Baixo,Sim,Hidratante; Protetor solar; Sérum,Skincare; Dieta; Atividade física,NÃO,R$101 – R$200,Não,Sim,Não
26,Ensino Fundamental completo,Solteiro,RJ,Sim,2.000 – 3.000,Oleosidade; Acne,1 ano,Alto,Sim,Protetor solar; Hidratante,Dieta; Atividade física,NÃO,Até R$100,Direito,Sim,Não
41,Pós-graduação,Solteiro,BA,Não,4.000 – 5.000,Queda de cabelo; Oleosidade,6 meses,Médio,Sim,Sérum; Protetor solar,Skincare; Dieta,NÃO,Até R$100,Não,Sim,Não
18,Pós-graduação,União Estável,SP,Sim,2.000 – 3.000,Queda de cabelo; Oleosidade; Manchas; Ressecamento,1 ano,Médio,Sim,Hidratante; Sérum; Protetor solar,Atividade física; Skincare; Dieta,SIM,R$301 – R$500,Não,Sim,Não
25,Ensino Superior incompleto,Divorciado,DF,Sim,5.000 – 7.000,Acne,6 meses,Médio,Não,Protetor solar,Atividade física,SIM,R$301 – R$500,Engenharia,Não,Não
41,Mestrado,União Estável,RJ,Sim,2.000 – 3.000,Queda de cabelo; Manchas; Oleosidade; Ressecamento,3 meses,Médio,Sim,Hidratante; Protetor solar; Sérum,Dieta; Atividade física; Skincare,NÃO,R$201 – R$300,Direito,Não,Sim
28,Ensino Fundamental incompleto,Casado,SP,Sim,Acima de 7.000,Manchas; Queda de cabelo,2 anos,Baixo,Sim,Hidratante; Protetor solar,Dieta; Skincare,SIM,R$301 – R$500,Não,Não,Não
34,Ensino Superior completo,União Estável,MG,Sim,4.000 – 5.000,Queda de cabelo,1 ano,Médio,Sim,Hidratante,Atividade física,NÃO,R$201 – R$300,Engenharia,Não,Sim
25,Ensino Superior completo,Solteiro,BA,Sim,Acima de 7.000,Oleosidade; Queda de cabelo; Acne; Ressecamento; Manchas,3 meses,Médio,Sim,Hidratante; Sérum; Protetor solar,Skincare; Dieta; Atividade física,SIM,R$301 – R$500,Direito,Não,Sim
52,Ensino Superior incompleto,Divorciado,GO,Sim,5.000 – 7.000,Oleosidade; Queda de cabelo; Acne,3 meses,Alto,Sim,Hidratante; Sérum; Protetor solar,Dieta; Atividade física; Skincare,SIM,R$301 – R$500,Engenharia,Sim,Sim
52,Ensino Médio completo,Divorciado,SC,Não,5.000 – 7.000,Acne; Manchas; Oleosidade; Ressecamento,6 meses,Alto,Sim,Protetor solar; Hidratante; Sérum,Skincare; Dieta; Atividade física,SIM,R$201 – R$300,Não,Não,Sim
50,Ensino Superior incompleto,União Estável,MG,Sim,5.000 – 7.000,Queda de cabelo; Manchas,2 anos,Médio,Não,Hidratante; Sérum,Atividade física; Dieta,SIM,R$301 – R$500,Direito,Não,Não
22,Ensino Superior incompleto,União Estável,DF,Sim,4.000 – 5.000,Ressecamento,6 meses,Baixo,Não,Sérum,Skincare,SIM,R$301 – R$500,Engenharia,Não,Não
45,Ensino Superior completo,Casado,PR,Sim,5.000 – 7.000,Acne,6 meses,Baixo,Sim,Protetor solar,Atividade física,NÃO,R$101 – R$200,Engenharia,Sim,Sim
24,Ensino Fundamental completo,Casado,GO,Não,4.000 – 5.000,Acne; Manchas; Ressecamento; Queda de cabelo; Oleosidade,3 meses,Baixo,Sim,Hidratante; Sérum; Protetor solar,Atividade física; Skincare; Dieta,SIM,R$101 – R$200,Engenharia,Não,Não
26,Ensino Médio completo,Solteiro,PR,Não,5.000 – 7.000,Queda de cabelo; Oleosidade; Ressecamento; Manchas,6 meses,Baixo,Sim,Sérum; Protetor solar; Hidratante,Dieta; Atividade física; Skincare,NÃO,R$201 – R$300,Direito,Não,Sim
25,Ensino Médio completo,Solteiro,SP,Sim,Até 2.000,Ressecamento,1 mês,Médio,Sim,Hidratante,Skincare,SIM,R$301 – R$500,Medicina,Não,Sim
29,Ensino Médio completo,Solteiro,PR,Sim,4.000 – 5.000,Manchas; Ressecamento; Acne; Queda de cabelo; Oleosidade,2 anos,Baixo,Não,Protetor solar; Sérum; Hidratante,Dieta; Atividade física; Skincare,SIM,R$301 – R$500,Não,Não,Sim
51,Ensino Superior completo,União Estável,GO,Sim,5.000 – 7.000,Oleosidade; Ressecamento,6 meses,Baixo,Sim,Hidratante; Protetor solar,Skincare; Atividade física,SIM,R$301 – R$500,Medicina,Não,Sim
50,Ensino Fundamental completo,União Estável,GO,Sim,5.000 – 7.000,Oleosidade; Acne; Queda de cabelo; Ressecamento; Manchas,6 meses,Baixo,Não,Sérum; Protetor solar; Hidratante,Atividade física; Skincare; Dieta,SIM,R$301 – R$500,Não,Sim,Não
40,Pós-graduação,Divorciado,MG,Não,5.000 – 7.000,Acne; Ressecamento; Queda de cabelo; Oleosidade,1 ano,Baixo,Não,Hidratante; Protetor solar; Sérum,Dieta; Atividade física; Skincare,SIM,R$301 – R$500,Não,Não,Sim
41,Ensino Médio completo,Solteiro,RJ,Sim,5.000 – 7.000,Acne; Manchas; Ressecamento; Oleosidade; Queda de cabelo,2 anos,Baixo,Não,Protetor solar; Sérum; Hidratante,Skincare; Dieta; Atividade física,SIM,R$301 – R$500,Medicina,Não,Não
54,Ensino Médio completo,União Estável,MG,Não,Acima de 7.000,Queda de cabelo,2 anos,Baixo,Não,Sérum,Atividade física,SIM,R$301 – R$500,Não,Não,Sim
52,Ensino Superior completo,Divorciado,SP,Sim,3.000 – 4.000,Ressecamento,6 meses,Médio,Sim,Hidratante,Dieta,NÃO,R$201 – R$300,Engenharia,Sim,Não
39,Ensino Fundamental incompleto,Solteiro,DF,Não,3.000 – 4.000,Queda de cabelo; Ressecamento; Acne,1 mês,Médio,Não,Hidratante; Protetor solar; Sérum,Atividade física; Skincare; Dieta,SIM,R$201 – R$300,Direito,Não,Não
44,Ensino Superior completo,Casado,PR,Sim,3.000 – 4.000,Manchas; Acne; Oleosidade; Ressecamento; Queda de cabelo,1 ano,Baixo,Não,Protetor solar; Hidratante; Sérum,Dieta; Skincare; Atividade física,SIM,R$301 – R$500,Medicina,Não,Não
52,Ensino Superior completo,Casado,RJ,Não,4.000 – 5.000,Manchas; Queda de cabelo,1 mês,Médio,Não,Sérum; Protetor solar,Atividade física; Dieta,NÃO,Até R$100,Direito,Sim,Sim
18,Ensino Médio completo,União Estável,BA,Não,5.000 – 7.000,Manchas; Acne; Oleosidade; Ressecamento,6 meses,Médio,Sim,Sérum; Hidratante; Protetor solar,Dieta; Atividade física; Skincare,SIM,R$301 – R$500,Não,Não,Sim
52,Ensino Fundamental incompleto,Divorciado,SC,Não,3.000 – 4.000,Queda de cabelo; Ressecamento; Acne,2 anos,Baixo,Não,Protetor solar; Sérum; Hidratante,Atividade física; Dieta; Skincare,NÃO,R$101 – R$200,Direito,Sim,Não
54,Ensino Médio completo,Casado,GO,Sim,5.000 – 7.000,Manchas; Ressecamento; Acne; Queda de cabelo; Oleosidade,2 anos,Baixo,Sim,Sérum; Protetor solar; Hidratante,Dieta; Atividade física; Skincare,SIM,R$201 – R$300,Direito,Não,Não
31,Ensino Fundamental completo,Divorciado,RJ,Sim,4.000 – 5.000,Queda de cabelo; Manchas,1 mês,Médio,Não,Protetor solar; Sérum,Skincare; Dieta,SIM,R$301 – R$500,Não,Sim,Sim
20,Ensino Fundamental completo,Divorciado,DF,Sim,5.000 – 7.000,Oleosidade; Queda de cabelo; Acne,3 meses,Médio,Sim,Protetor solar; Sérum; Hidratante,Dieta; Atividade física; Skincare,SIM,R$101 – R$200,Não,Sim,Não
18,Ensino Médio completo,Casado,BA,Sim,5.000 – 7.000,Ressecamento,6 meses,Baixo,Não,Protetor solar,Skincare,NÃO,R$101 – R$200,Não,Sim,Não
22,Ensino Médio completo,Divorciado,RJ,Sim,3.000 – 4.000,Ressecamento; Queda de cabelo; Oleosidade; Manchas,2 anos,Baixo,Sim,Hidratante; Protetor solar; Sérum,Dieta; Atividade física; Skincare,NÃO,R$201 – R$300,Direito,Sim,Não
43,Ensino Superior completo,Casado,MG,Sim,4.000 – 5.000,Queda de cabelo; Manchas; Ressecamento; Oleosidade; Acne,3 meses,Alto,Sim,Sérum; Hidratante; Protetor solar,Skincare; Dieta; Atividade física,SIM,R$301 – R$500,Direito,Não,Sim
31,Ensino Superior completo,União Estável,BA,Sim,4.000 – 5.000,Oleosidade; Acne,2 anos,Baixo,Sim,Hidratante; Protetor solar,Dieta; Atividade física,NÃO,Até R$100,Não,Sim,Sim
44,Ensino Superior completo,Solteiro,SC,Sim,Até 2.000,Ressecamento,2 anos,Baixo,Sim,Sérum,Atividade física,NÃO,R$301 – R$500,Medicina,Sim,Sim
26,Ensino Fundamental completo,Solteiro,DF,Sim,4.000 – 5.000,Queda de cabelo; Oleosidade; Manchas,3 meses,Alto,Sim,Hidratante; Sérum; Protetor solar,Dieta; Skincare; Atividade física,NÃO,R$101 – R$200,Não,Não,Sim
32,Ensino Médio completo,União Estável,GO,Sim,2.000 – 3.000,Acne; Ressecamento; Queda de cabelo; Oleosidade,1 mês,Alto,Sim,Hidratante; Sérum; Protetor solar,Skincare; Dieta; Atividade física,SIM,R$301 – R$500,Medicina,Não,Sim
